,label,category,address,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,eth_balance,cluster
74,Fake_Phishing74,Phish/Hack,0x54a508ff8da468cbdbe9a68550ec5ef745c08126,4,16,620,155,188430.15,47107.5375,1320.079910158,82.504994385,403124.0670468566,25195.254190428546,16,0.25,1.0,38.75,11776.884375,82.504994385,25195.25419042854,0,0,101172.13333333332,172317.27537343377,2459759.6666666665,2251821.84929655,39,700.076466158,4
75,SparkPool,Mining,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,4589168,31,1200301.880038111,0.261551087,592585325.7323722,129.12696282471236,504.030303966,16.259042063,295250.0265503073,9524.194404848624,16,286823.0,1.9375,75018.867502382,37036582.85827326,31.501893998,18453.126659394205,0,0,1048817.4,1051691.4543509095,8.280857942193013,1094.5986392378543,58,5991.34832811,100
76,DMarket_Wallet,ICO Wallets,0x4b60b53a6edcd75f0730ecc22579df2079f210b0,149,4143,20829.5563918,139.795680482,16207329.808266714,108774.02555883706,27399.703780385,6.613493551,8158263.329234888,1969.1680736748408,16,9.3125,258.9375,1301.847274488,1012958.1130166696,1712.481486274,509891.4580771805,0,0,5778.567358763884,134615.08240877558,228555.82432432435,1089485.627450374,31,9273.422568857,100
77,Binance_1,Binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1539893,4642263,34038552.260613723,22.104491845,20475488892.37466,13296.695869372184,34404104.995301309,7.41106331,20715014408.46399,4462.2664438590655,16,96243.3125,290141.4375,2127409.516288358,1279718055.7734163,2150256.562206332,1294688400.5289993,0,0,8.642772855129675,366.1064212139535,26.05377714800779,146.50321166525845,519,299076.571853705,101
78,Binance_1,Exchange,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1539893,4642263,34038552.260613723,22.104491845,20475488892.37466,13296.695869372184,34404104.995301309,7.41106331,20715014408.46399,4462.2664438590655,16,96243.3125,290141.4375,2127409.516288358,1279718055.7734163,2150256.562206332,1294688400.5289993,0,0,8.642772855129675,366.1064212139535,26.05377714800779,146.50321166525845,519,299076.571853705,101
79,Coinotron_3,Mining,0x6a7a43be33ba930fe58f34e07d0ad6ba7adb9b1f,128519,17,80890.27861942,0.629403268,35047490.07404047,272.7027916031134,475.14156959,27.949504094,167783.48839088617,9869.616964169769,17,7559.941176470588,1.0,4758.251683495,2061617.0631788513,27.949504094,9869.616964169774,0,0,1335463.8124999998,3655025.944328535,327.03432982150395,2254.016225651992,32,1282.643355708,100
80,Fake_Phishing30,Phish/Hack,0x5ab35e76fad0e983d3f241efef7272b127aaa617,16,3,420.9,26.30625,132460.835,8278.802187499998,921,307,224471.45000000004,74823.81666666667,17,0.9411764705882353,0.17647058823529413,24.758823529,7791.813823529411,54.176470588,13204.202941176472,0,0,1785565.5,2524943.2582219546,556543.0,2052781.3235527552,11,500.092944,4
81,Santiment_Wallet2,ICO Wallets,0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,19,3,15006.142046832,789.796949833,8592615.246773276,452242.90772490925,6.98,2.326666667,2348.2096,782.7365333333332,17,1.1176470588235294,0.17647058823529413,882.714238049,505447.9556925457,0.410588235,138.12997647058825,0,0,6076216.5,8591531.946286442,929925.4444444445,940421.0758272827,37,30005.741231936,4
82,Compromised_Coindash,Compromised,0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,3,2135,30488,10162.666666667,20212820.8,6737606.933333333,43479.456231114,20.365084886,8261648.337468711,3869.6245140368437,17,0.17647058823529413,125.58823529411765,1793.411764706,1188989.4588235295,2557.615072418,485979.3139687477,0,0,450.0721649484534,19787.997997584498,7048059.5,9250701.130349228,36,13000.454488114,1
83,Compromised_Coindash,ICO Wallets,0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,3,2135,30488,10162.666666667,20212820.8,6737606.933333333,43479.456231114,20.365084886,8261648.337468711,3869.6245140368437,17,0.17647058823529413,125.58823529411765,1793.411764706,1188989.4588235295,2557.615072418,485979.3139687477,0,0,450.0721649484534,19787.997997584498,7048059.5,9250701.130349228,36,13000.454488114,1
84,MultisigExploit-Hacker,Heist,0xb3764761e297d6f121e79c32a65829cd1ddb4d32,8,18,70020,8752.5,13612588.2,1701573.525,0.085050371,0.004725021,19.23847540792,1.0688041893288889,17,0.47058823529411764,1.0588235294117647,4118.823529412,800740.4823529412,0.005002963,1.1316750239952942,0,0,1730062.1176470588,3797436.3964424552,10876.000000000002,28575.45603602271,41,83017.074222098,4
85,Cryptopia,Exchange,0x5baeac0a0417a05733884852aa068b706967e790,283683,206679,461930.666217828,1.628333972,306217726.8826668,1079.4362964388529,489521.030418119,2.368508801,319770976.2448673,1547.1865852110463,18,15760.166666666666,11482.166666666666,25662.814789879,17012095.937925935,27195.612801007,17765054.235825963,0,0,213.49788559982196,11659.366473325239,155.31159537792314,640.1175316975593,120,19520.147062241,101
86,Okex_2,Exchange,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,504749,203126,4257156.713966614,8.434205346,2217539941.5417733,4393.3518274277385,4383789.274189243,21.581625563,2271069525.8868895,11180.59493066837,18,28041.61111111111,11284.777777777777,236508.706331479,123196663.41898741,243543.848566069,126170529.2159383,0,0,158.69114092307692,10189.709524591271,90.46742136670163,1183.5101587052898,296,1234.249019534,101
87,Huobi_6,Exchange,0xdc76cd25977e0a5ae17155770273ad58648900d3,31,106,446003.26,14387.201935484,150553333.58580002,4856559.147929031,1296863.940380988,12234.565475292,545872208.8725629,5149737.819552481,19,1.631578947368421,5.578947368421052,23473.855789474,7923859.6624105275,68255.996862157,28730116.25645068,0,0,435371.0857142856,1341960.1662946697,1167667.4666666668,3149881.811676123,61,850860.638847655,1
88,Huobi_7,Exchange,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,8142,2419,101214.7451,12.431189523,29556520.07700314,3630.1301986002013,107410.656180041,44.402916982,32163575.353158016,13296.227926067799,19,428.5263157894737,127.3157894736842,5327.091847368,1555606.3198422706,5653.192430528,1692819.7554293692,0,0,18431.56534325889,344522.205902182,5620.761454366784,81337.98807362672,222,34.539001161,101
89,BasicAttentionToken_Wallet,Basic Attention Token,0x44fcfabfbe32024a01b778c025d70498382cced0,8,5,75565.965,9445.745625,43115834.0618,5389479.257725,34346.25,6869.25,18598305.53,3719661.1060000006,19,0.42105263157894735,0.2631578947368421,3977.156052632,2269254.4243052634,1807.697368421,978858.1857894737,0,0,8053658.0,6901480.112366332,5081273.571428572,5366077.230112883,41,16343.996881831,1
90,BasicAttentionToken_Wallet,ICO Wallets,0x44fcfabfbe32024a01b778c025d70498382cced0,8,5,75565.965,9445.745625,43115834.0618,5389479.257725,34346.25,6869.25,18598305.53,3719661.1060000006,19,0.42105263157894735,0.2631578947368421,3977.156052632,2269254.4243052634,1807.697368421,978858.1857894737,0,0,8053658.0,6901480.112366332,5081273.571428572,5366077.230112883,41,16343.996881831,1
91,Huobi_4,Exchange,0xeee28d484628d41a82d01e21d12e2e78d69920da,53893,12809,1767690.47107525,32.800001319,495967783.1644708,9202.823802061006,1859037.515996922,145.135257709,519213223.1195295,40535.031861935364,19,2836.4736842105262,674.1578947368421,93036.340582908,26103567.534972146,97844.079789312,27327011.74313313,0,0,3342.9288725796373,98345.97843011958,848.5321197951455,22128.860781730174,225,279.975975298,101
92,Huobi_9,Exchange,0x1062a747393198f70f71ec65a582423dba7e5ab3,3909,1974,41965.969,10.73573011,12622832.3783,3229.1717519314398,42151.995633922,21.353594546,12567648.856582182,6366.59009958571,19,205.73684210526315,103.89473684210526,2208.735210526,664359.5988578948,2218.526085996,661455.2029780096,0,0,22581.909782057777,382395.2738616114,11690.055527123846,159279.79919186787,215,39.602766588,100
93,Huobi_3,Exchange,0xfdb16996831753d5331ff813c29a93c76834a0ad,5403,2351,57379.205,10.619878771,18196695.0212,3367.887288765501,57565.044591876,24.485344361,18812453.855077498,8001.894451330277,19,284.36842105263156,123.73684210526316,3019.958157895,957720.7905894738,3029.739189046,990129.1502672367,0,0,19114.783829787233,294459.21979392454,8474.075527582374,92568.64075446737,211,36.926326664,101
94,WaterholePool,Mining,0x9435d50503aee35c8757ae4933f7a0ab56597805,128409,223,82356.095658768,0.641357659,31161092.614339393,242.67062755989875,946.744387555,4.245490527,485650.64474386687,2177.805581811062,22,5836.772727272727,10.136363636363637,3743.45889358,1416413.3006517906,43.033835798,22075.029306539403,0,0,188283.8963963964,529596.2791082184,418.31805650738227,4837.172194754744,27,1107.887205267,100
95,Santiment_Wallet1,ICO Wallets,0xe76fe52a251c8f3a5dcd657e47a6c8d16fdf4bfa,100,8,11269.745841862,112.697458419,679574.01915927,6795.740191592705,66.53,8.31625,17376.3991,2172.0498875,22,4.545454545454546,0.36363636363636365,512.26117463,30889.72814360318,3.024090909,789.8363227272727,0,0,7036668.0,13184017.975966861,559652.4848484846,699701.0374338655,32,789.323648245,4
96,Humaniq_Wallet,ICO Wallets,0xa2c9a7578e2172f32a36c5c0e49d64776f9e7883,74,2419,47215.319393909,638.044856674,8889678.065666027,120130.78467116249,44495.529623328,18.394183391,2031100.2183299134,839.6445714468435,24,3.0833333333333335,100.79166666666667,1967.304974746,370403.25273608445,1853.980400972,84629.17576374639,0,0,4932.672043010753,180630.6907504052,677011.5890410962,2381320.6308831777,21,400.610254457,6
97,Liqui.io_1,Exchange,0x8271b2e8cbe29396e9563229030c89679b9470db,139001,195808,1727541.12012386,12.42826397,726557983.4401418,5226.998247783444,1763299.738918003,9.005248707,730771042.8522892,3732.079602734688,26,5346.192307692308,7531.076923076923,66443.889235533,27944537.82462084,67819.220727616,28106578.571241893,0,0,336.4480891898656,3045.715444168628,474.29743884892,3628.506017401777,64,12563.884062449,101
